"","name","brand","country","city","power","price","km","year","stringAsFactors"
"5255","Cabeza tractora Volvo FH 13 500 GLOBETROTTER","Volvo","ITALIA","Casteggio (Pv)",NA,38000,1094426,"2013",FALSE
"5256","Cabeza tractora Mercedes Arocs 1848 LS","Mercedes","FRANCIA","Meurthe",NA,69000,188500,"2018",FALSE
"5257","Cabeza tractora DAF XF 460","DAF","HOLANDA","Ede",459,27900,807000,"2015",FALSE
"5258","Cabeza tractora Volvo FH12 460","Volvo","PORTUGAL","Donas",460,NA,1200000,"2012",FALSE
"5259","Cabeza tractora Renault Kerax 420","Renault","FRANCIA","Puy",420,NA,284880,"2002",FALSE
"5260","Cabeza tractora Volvo FH 500 Globetrotter","Volvo","ITALIA","Livorno",NA,NA,601000,"2017",FALSE
"5261","Cabeza tractora Volvo FH 500 Globetrotter","Volvo","ITALIA","Livorno",NA,NA,565000,"2017",FALSE
"5262","Cabeza tractora Renault Premium 460 EEV","Renault","PORTUGAL","Albergaria",460,NA,647000,"2014",FALSE
"5263","Cabeza tractora Scania R500 6x2/4 Next Generation","Scania","DINAMARCA","Padborg",500,NA,934000,"2019",FALSE
"5264","Cabeza tractora DAF CF 85.410","DAF","HOLANDA","Lelystad",410,12900,884414,"2007",FALSE
"5265","Cabeza tractora Renault AE 440","Renault","HOLANDA","Meerkerk",440,8600,1054000,"2004",FALSE
"5266","Cabeza tractora Scania G 380","Scania","HOLANDA","Son En Breugel",379,14800,1113816,"2012",FALSE
"5267","Cabeza tractora MAN TGX 500 INTARDER","MAN","BÉLGICA","Hooglede",NA,34900,594140,"2017",FALSE
"5268","Cabeza tractora MAN TGX 500 INTARDER","MAN","BÉLGICA","Hooglede",NA,35200,554882,"2017",FALSE
"5269","Cabeza tractora DAF XF105 XF 105.460 Automatic","DAF","HOLANDA","Lelystad",459,14900,1077533,"2011",FALSE
"5270","Cabeza tractora MAN TGX 18.500","MAN","HOLANDA","Weurt",500,39500,545000,"2017",FALSE
"5271","Cabeza tractora MAN TGX 18.500","MAN","HOLANDA","Weurt",500,39500,569000,"2017",FALSE
"5272","Cabeza tractora Volvo FH 500","Volvo","PORTUGAL","Pelariga",500,NA,1,"2016",FALSE
"5273","Cabeza tractora DAF XF 106 510 SSC","DAF","FRANCIA","Puy",510,39250,532000,"2017",FALSE
"5274","Cabeza tractora Scania R 480","Scania","ITALIA","San Lorenzo",480,10000,1e+06,"2007",FALSE
"5275","Cabeza tractora MAN TGS 18.440","MAN","FRANCIA","Vaucluse",440,69000,403000,"2016",FALSE
"5276","Cabeza tractora Renault T-Series 480","Renault","FRANCIA","Bas",480,24000,416000,"2017",FALSE
"5277","Cabeza tractora MAN TGX TGX 18.480 TRATTORE STRADALE ADR","MAN","ITALIA","Voltana",NA,NA,710000,"2016",FALSE
"5278","Cabeza tractora MAN TGX MAN TGX 18. 480 TRATTORE STRADALE ADR EURO 6","MAN","ITALIA","Voltana",NA,NA,620000,"2016",FALSE
"5279","Cabeza tractora MAN TGX","MAN","POLONIA","Ksi",NA,31000,NA,NA,FALSE
"5280","Cabeza tractora Renault C-Series","Renault","FRANCIA","Seine",440,NA,334900,"2016",FALSE
"5281","Cabeza tractora Renault T-Series","Renault","FRANCIA","Charente",480,NA,338000,"2018",FALSE
"5282","Cabeza tractora Iveco Stralis 560","Iveco","FRANCIA","Drôme",560,8700,789046,"2011",FALSE
"5283","Cabeza tractora DAF CF 430","DAF","BÉLGICA","Harchies (Bernissart)",429,79750,511349,"2005",FALSE
"5284","Tractora semi plataforma Renault Premium 420 DCI","Renault","FRANCIA","Alpes",NA,NA,725650,"2001",FALSE
"5285","Tractora semi volquete Renault Premium 420","Renault","FRANCIA","Alpes",NA,NA,640000,"2004",FALSE
"5286","Cabeza tractora DAF XF 530","DAF","FRANCIA","Nord",530,NA,361908,"2018",FALSE
"5287","Cabeza tractora Iveco Stralis 460","Iveco","HOLANDA","Etten",459,12950,1218541,"2013",FALSE
"5288","Cabeza tractora Iveco Stralis 420","Iveco","HOLANDA","Etten",420,11950,803073,"2012",FALSE
"5289","Cabeza tractora Renault T430 +","Renault","HOLANDA","Etten",NA,24950,756339,"2015",FALSE
"5290","Cabeza tractora DAF CF 440","DAF","BÉLGICA","Hooglede",NA,19500,683777,"2014",FALSE
"5291","Cabeza tractora MAN TGX 500 INTARDER","MAN","BÉLGICA","Hooglede",NA,34900,634820,"2017",FALSE
"5292","Cabeza tractora MAN 19.422 F 2000 19.422","MAN","BÉLGICA","Hooglede",420,8900,952156,"1992",FALSE
"5293","Cabeza tractora MAN TGX 500 INTARDER","MAN","BÉLGICA","Hooglede",NA,35200,596011,"2017",FALSE
"5294","Cabeza tractora MAN TGX 500 INTARDER","MAN","BÉLGICA","Hooglede",NA,34900,602130,"2017",FALSE
"5295","Cabeza tractora MAN TGX 520 INTARDER","MAN","BÉLGICA","Hooglede",519,32000,633502,"2016",FALSE
"5296","Cabeza tractora Scania R420, Steel/Air, RETARDER ,EURO 3, Automat with Clutch","Scania","POLONIA","Wolsztyn",NA,7500,1133500,"2006",FALSE
"5297","Cabeza tractora Scania R 420 High Line","Scania","PORTUGAL","Vila Do Conde",420,16500,1352400,"2011",FALSE
"5298","Cabeza tractora convoy excepcional Scania R 500","Scania","FRANCIA","Sarthe",500,NA,9e+05,"2010",FALSE
"5299","Cabeza tractora DAF XF 106 XF106-480 / AUTOMATIC/ RUNNING / HYDRAULICS / SPACECAB / DEB / / 2017","DAF","HOLANDA","Velddriel",459,33250,360604,"2017",FALSE
"5300","Cabeza tractora convoy excepcional DAF CF85 460","DAF","ITALIA","Agrate Brianza",460,NA,411000,"2009",FALSE
"5301","Cabeza tractora Scania L 94L 310 + Manual +","Scania","HOLANDA","Etten",309,6950,1104876,"1999",FALSE
"5302","Cabeza tractora Volvo FH12 FH 12.420","Volvo","BÉLGICA","Genk",420,8750,999999,"2002",FALSE
"5303","Cabeza tractora Renault Magnum Magnum 480dxi *Euro 5 EEV * Mega**","Renault","ALEMANIA","Sulzbach",480,13800,1012000,"2013",FALSE
"5304","Cabeza tractora Volvo FM FM 440 6x4 Kipphydraulik","Volvo","ALEMANIA","Flieden",441,25500,549273,"2006",FALSE
"5305","Cabeza tractora DAF XF105 460","DAF","FRANCIA","Ille",460,22000,265000,"2012",FALSE
"5306","Cabeza tractora Renault Premium 420 DCI","Renault","HOLANDA","Susteren",411,6750,NA,"2002",FALSE
"5307","Cabeza tractora Renault Premium 420 DCI","Renault","HOLANDA","Susteren",411,6500,1208126,"2004",FALSE
"5308","Cabeza tractora Renault Premium 420 DCI","Renault","HOLANDA","Susteren",411,6000,1256422,"2005",FALSE
"5309","Cabeza tractora Volvo FH 460","Volvo","HOLANDA","Gilze",459,NA,36,"2022",FALSE
"5310","Cabeza tractora Renault Premium 460.26 DXI","Renault","HOLANDA","Hoogerheide",459,13500,1318300,"2011",FALSE
"5311","Cabeza tractora MAN TGX 18.440","MAN","BÉLGICA","Handzame",440,12450,1180271,"2010",FALSE
"5312","Cabeza tractora Volvo FH12 380","Volvo","PORTUGAL","Mozelos",380,5000,100,"1995",FALSE
"5313","Cabeza tractora Volvo FH12 380","Volvo","PORTUGAL","Mozelos",380,6000,100,"1999",FALSE
"5314","Cabeza tractora Mercedes 1626, 4x4, V8 ENGINE, Full Steel","Mercedes","POLONIA","Wolsztyn",NA,21500,164791,"1975",FALSE
"5315","Cabeza tractora Iveco Stralis AS440S46T/P XP","Iveco","ITALIA","Piacenza",460,57000,361594,"2018",FALSE
