,name,brand,country,city,power,price,km,year,years,years.category,y
464,Cabeza tractora DAF XF FT XF450,DAF,ITALIA,Assago Mi 20090,NA,71600,294883,2018,4,Medium,46567.2587
465,Cabeza tractora productos peligrosos / ADR DAF XF 530,DAF,HOLANDA,Veghel,530,52900,348984,2018,4,Medium,46567.2587
466,Cabeza tractora Renault T-Series 480 T4X2 E6,Est,FRANCIA,Rhône,480,59900,343232,2018,4,Medium,46567.2587
467,Cabeza tractora Renault T-Series 460 T4X2 E6,Est,FRANCIA,Rhône,460,54800,348769,2018,4,Medium,46567.2587
468,Cabeza tractora Renault T-Series T 480 voith,Renault,FRANCIA,Rhône,NA,55000,393423,2018,4,Medium,46567.2587
469,Cabeza tractora Renault T-Series T 480,Renault,FRANCIA,Rhône,NA,55000,448143,2018,4,Medium,46567.2587
470,Cabeza tractora Renault T-Series 460 T4X2 E6,Renault,FRANCIA,Rhône,460,39500,397000,2018,4,Medium,46567.2587
471,Cabeza tractora Volvo FH13 500,Volvo,PORTUGAL,Proença A Nova,500,62500,4.00E+05,2018,4,Medium,46567.2587
472,Cabeza tractora productos peligrosos / ADR MAN TGX 18.500 4X2 BLS,MAN,FRANCIA,Pas,500,52400,331860,2018,4,Medium,46567.2587
473,Cabeza tractora productos peligrosos / ADR MAN TGX 18.500 4X2 BLS,MAN,FRANCIA,Ille,500,59000,181305,2018,4,Medium,46567.2587
474,Cabeza tractora rebajado Iveco Stralis AT 440 S 48 TFP-LT,Iveco,ITALIA,Trofarello,480,48000,430000,2018,4,Medium,46567.2587
475,Cabeza tractora Scania S 500,Scania,ITALIA,Trofarello,500,86000,430000,2018,4,Medium,46567.2587
476,Cabeza tractora Volvo FH 500,Volvo,HOLANDA,Groot,509,59500,670745,2018,4,Medium,46567.2587
477,Cabeza tractora DAF XF 480,DAF,HOLANDA,Veghel,479,38900,625460,2018,4,Medium,46567.2587
478,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,64500,417359,2018,4,Medium,46567.2587
479,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,65800,276139,2018,4,Medium,46567.2587
480,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,56800,529821,2018,4,Medium,46567.2587
481,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,56000,633767,2018,4,Medium,46567.2587
482,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,57200,534083,2018,4,Medium,46567.2587
483,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,62800,485391,2018,4,Medium,46567.2587
484,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,65000,411339,2018,4,Medium,46567.2587
485,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,63800,383749,2018,4,Medium,46567.2587
486,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,58900,280547,2018,4,Medium,46567.2587
487,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,63200,391368,2018,4,Medium,46567.2587
488,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,58900,252629,2018,4,Medium,46567.2587
489,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,58900,517056,2018,4,Medium,46567.2587
490,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,65800,184631,2018,4,Medium,46567.2587
491,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,55100,629868,2018,4,Medium,46567.2587
492,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,55800,552597,2018,4,Medium,46567.2587
493,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,54900,599078,2018,4,Medium,46567.2587
494,Cabeza tractora Mercedes Actros IV 18 2012,Mercedes,ITALIA,Nervesa Della Battaglia,530,86000,288000,2018,4,Medium,46567.2587
495,Cabeza tractora DAF XF 480,DAF,ITALIA,Assago Mi 20090,NA,74100,446003,2018,4,Medium,46567.2587
496,Cabeza tractora DAF XF 430,DAF,ITALIA,Assago Mi 20090,428,67100,473817,2018,4,Medium,46567.2587
497,Cabeza tractora DAF XF 480,DAF,ITALIA,Assago Mi 20090,NA,63500,644515,2018,4,Medium,46567.2587
498,Cabeza tractora DAF XF 480,DAF,ITALIA,Assago Mi 20090,NA,74000,448308,2018,4,Medium,46567.2587
499,Cabeza tractora DAF XF 480,DAF,ITALIA,Assago Mi 20090,482,71200,332046,2018,4,Medium,46567.2587
500,Cabeza tractora DAF XF FT XF450,DAF,ITALIA,Assago Mi 20090,NA,67400,424254,2018,4,Medium,46567.2587
501,Cabeza tractora DAF XF FT XF450,DAF,ITALIA,Assago Mi 20090,448,68900,537983,2018,4,Medium,46567.2587
502,Cabeza tractora DAF XF 480,DAF,ITALIA,Assago Mi 20090,NA,72700,444417,2018,4,Medium,46567.2587
503,Cabeza tractora DAF XF 480,DAF,ITALIA,Assago Mi 20090,482,79400,386139,2018,4,Medium,46567.2587
504,Cabeza tractora DAF XF FT XF450,DAF,ITALIA,Assago Mi 20090,448,67500,518354,2018,4,Medium,46567.2587
505,Cabeza tractora DAF XF 480,DAF,ITALIA,Assago Mi 20090,NA,72100,473979,2018,4,Medium,46567.2587
506,Cabeza tractora DAF XF FT XF450,DAF,ITALIA,Assago Mi 20090,NA,66600,469939,2018,4,Medium,46567.2587
507,Cabeza tractora DAF XF FT XF450,DAF,ITALIA,Assago Mi 20090,NA,71600,296938,2018,4,Medium,46567.2587
508,Cabeza tractora DAF XF FT XF450,DAF,ITALIA,Assago Mi 20090,NA,71600,289552,2018,4,Medium,46567.2587
509,Cabeza tractora DAF XF 430,DAF,ITALIA,Assago Mi 20090,NA,69100,495032,2018,4,Medium,46567.2587
510,Cabeza tractora DAF XF 480,DAF,ITALIA,Assago Mi 20090,NA,72600,453333,2018,4,Medium,46567.2587
511,Cabeza tractora DAF XF 480,DAF,ITALIA,Assago Mi 20090,NA,71100,524442,2018,4,Medium,46567.2587
512,Cabeza tractora DAF XF 480,DAF,ITALIA,Assago Mi 20090,NA,79200,395330,2018,4,Medium,46567.2587
513,Cabeza tractora DAF XF FT XF450,DAF,ITALIA,Assago Mi 20090,448,70700,410540,2018,4,Medium,46567.2587
514,Cabeza tractora DAF XF 430,DAF,ITALIA,Assago Mi 20090,NA,69700,464865,2018,4,Medium,46567.2587
515,Cabeza tractora DAF XF FT XF450,DAF,ITALIA,Assago Mi 20090,448,64700,547937,2018,4,Medium,46567.2587
516,Cabeza tractora Mercedes Actros 1846 LS,Est,FRANCIA,Oise,460,57980,334708,2018,4,Medium,46567.2587
517,Cabeza tractora DAF XF 480,DAF,HOLANDA,Vuren,482,49900,451541,2018,4,Medium,46567.2587
518,Cabeza tractora Mercedes Actros IV 18 2012,Mercedes,ITALIA,Bolzano Vicentino,NA,76000,395070,2018,4,Medium,46567.2587
519,Cabeza tractora Mercedes Actros IV 18 2012,Mercedes,ITALIA,Bolzano Vicentino,NA,64000,489218,2018,4,Medium,46567.2587
520,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,62400,492894,2018,4,Medium,46567.2587
521,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,64500,444922,2018,4,Medium,46567.2587
522,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,482,59800,530414,2018,4,Medium,46567.2587
523,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,65700,338162,2018,4,Medium,46567.2587
524,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,65000,344880,2018,4,Medium,46567.2587
525,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,66500,208940,2018,4,Medium,46567.2587
526,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,58900,312642,2018,4,Medium,46567.2587
527,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,60900,346976,2018,4,Medium,46567.2587
528,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,65800,296930,2018,4,Medium,46567.2587
529,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,482,66500,520355,2018,4,Medium,46567.2587
530,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,64000,410436,2018,4,Medium,46567.2587
531,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,482,58000,511689,2018,4,Medium,46567.2587
532,Cabeza tractora Scania R 450,Scania,HOLANDA,Wijchen,450,64995,604740,2018,4,Medium,46567.2587
533,Cabeza tractora Scania S 500,Scania,HOLANDA,Wijchen,500,66995,852431,2018,4,Medium,46567.2587
534,Cabeza tractora Scania S 500,Scania,HOLANDA,Wijchen,500,66995,840427,2018,4,Medium,46567.2587
535,Cabeza tractora Volvo FH 460,Volvo,HOLANDA,Wijchen,459,59995,560343,2018,4,Medium,46567.2587
536,Cabeza tractora Renault T 11 460 SPEERCAB T4X2 X-LOW SELECTION,Renault,HOLANDA,Berkel En Rodenrijs,469,44950,456543,2018,4,Medium,46567.2587
537,Cabeza tractora DAF XF 480,DAF,BÉLGICA,Antwerpen,NA,56500,511900,2018,4,Medium,46567.2587
538,Cabeza tractora DAF XF 480,DAF,BÉLGICA,Hooglede,479,43750,476991,2018,4,Medium,46567.2587
539,Cabeza tractora Scania R 450,Scania,FRANCIA,Seine,450,58000,550000,2018,4,Medium,46567.2587
540,Cabeza tractora Mercedes Actros 1843 LS,Est,FRANCIA,Oise,430,62980,154100,2018,4,Medium,46567.2587
541,Cabeza tractora MAN TGX TGX 18.460 XLX Euro 6 / Klima,MAN,ALEMANIA,Korschenbroich,NA,43900,463000,2018,4,Medium,46567.2587
542,Cabeza tractora MAN TGX 18.500 4X2 BLS,MAN,ITALIA,Piacenza,500,62000,491564,2018,4,Medium,46567.2587
543,Cabeza tractora Renault T-Series,Renault,FRANCIA,Tarn,460,48000,454553,2018,4,Medium,46567.2587
544,Cabeza tractora Iveco Stralis 440 S 48,Iveco,ITALIA,Affi,480,51000,376000,2018,4,Medium,46567.2587
545,Cabeza tractora Scania S450,Scania,POLONIA,Mo,NA,75660,494000,2018,4,Medium,46567.2587
546,Cabeza tractora Mercedes Actros IV 18 2012,Mercedes,ITALIA,Nervesa Della Battaglia,510,79500,391500,2018,4,Medium,46567.2587
547,Cabeza tractora Mercedes Actros IV 18 2012,Mercedes,ITALIA,Nervesa Della Battaglia,510,69500,523000,2018,4,Medium,46567.2587
548,Cabeza tractora productos peligrosos / ADR Volvo FH 500,Volvo,HOLANDA,Veghel,500,53400,670509,2018,4,Medium,46567.2587
549,Cabeza tractora Iveco Stralis 460,Iveco,HOLANDA,Veghel,459,30400,416868,2018,4,Medium,46567.2587
550,Cabeza tractora Renault C 480 / 13 LITERS /HYDRAULIC SYSTEM/ 198 000 KM,Renault,POLONIA,Bodzentyn,480,56900,198000,2018,4,Medium,46567.2587
551,Cabeza tractora DAF XF 530/SSC/RETARDER/NAVI /I-PARK COOL/METALIC,DAF,POLONIA,Bodzentyn,531,63900,579000,2018,4,Medium,46567.2587
552,Cabeza tractora MAN TGX 18.500 / XXL / RETARDER / NAVI / PTO /EURO 6,MAN,POLONIA,Bodzentyn,680,45000,738000,2018,4,Medium,46567.2587
553,Cabeza tractora Scania R 450/ RETARDER/ EURO 6/I-COOL/ NAVI/ 2018 YEAR,Scania,POLONIA,Bodzentyn,451,63500,686000,2018,4,Medium,46567.2587
554,Cabeza tractora DAF XF 530,DAF,HOLANDA,Vuren,530,54900,454038,2018,4,Medium,46567.2587
555,Cabeza tractora MAN TGX 18.460 XLX,MAN,FRANCIA,Gironde,460,54000,473111,2018,4,Medium,46567.2587
556,Cabeza tractora DAF XF 530,DAF,HOLANDA,Vuren,530,54900,471643,2018,4,Medium,46567.2587
557,Cabeza tractora MAN TGS 18.460 4X2 BLS HYDRAULIQUE,MAN,FRANCIA,Loire,460,55300,248862,2018,4,Medium,46567.2587
558,Cabeza tractora productos peligrosos / ADR MAN TGX 18.460 4X2 BLS,MAN,ITALIA,Piacenza,460,54000,504231,2018,4,Medium,46567.2587
559,Cabeza tractora MAN TGX 18.500 4X2 LLS-U,MAN,ITALIA,Piacenza,500,55000,568722,2018,4,Medium,46567.2587
560,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,58900,254631,2018,4,Medium,46567.2587
561,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,57400,365296,2018,4,Medium,46567.2587
562,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,58900,305583,2018,4,Medium,46567.2587
563,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,58800,204494,2018,4,Medium,46567.2587
564,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,58800,205707,2018,4,Medium,46567.2587
565,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,58800,219074,2018,4,Medium,46567.2587
566,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,59000,241491,2018,4,Medium,46567.2587
567,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,58900,270650,2018,4,Medium,46567.2587
568,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,58800,348352,2018,4,Medium,46567.2587
569,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,58800,221562,2018,4,Medium,46567.2587
570,Cabeza tractora MAN TGX 26.460,MAN,HOLANDA,Vuren,459,49950,463865,2018,4,Medium,46567.2587
571,Cabeza tractora DAF XF 480,DAF,FRANCIA,Charente,480,66500,180000,2018,4,Medium,46567.2587
572,Cabeza tractora DAF XF 480,DAF,FRANCIA,Charente,480,54800,480000,2018,4,Medium,46567.2587
573,Cabeza tractora Mercedes Actros IV 18 2012,Mercedes,ITALIA,Nervesa Della Battaglia,510,75900,477290,2018,4,Medium,46567.2587
574,Cabeza tractora Mercedes Actros IV 18 2012,Mercedes,ITALIA,Nervesa Della Battaglia,476,79000,390866,2018,4,Medium,46567.2587
575,Cabeza tractora Mercedes Actros IV 18 2012,Mercedes,ITALIA,Nervesa Della Battaglia,510,71000,486546,2018,4,Medium,46567.2587
576,Cabeza tractora MAN TGX 18.460 XLX,MAN,FRANCIA,Gironde,460,49500,473111,2018,4,Medium,46567.2587
577,Cabeza tractora MAN TGS 18.420 ADR tot. + Comfort Plus,MAN,ITALIA,Piacenza,420,46000,513936,2018,4,Medium,46567.2587
578,Cabeza tractora Mercedes Actros 1846 LS,Est,FRANCIA,Oise,460,57980,318240,2018,4,Medium,46567.2587
579,Cabeza tractora DAF XF 480,DAF,HOLANDA,Vuren,479,69950,490219,2018,4,Medium,46567.2587
580,Cabeza tractora DAF XF 480,DAF,HOLANDA,Vuren,482,69950,480356,2018,4,Medium,46567.2587
581,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,53700,605133,2018,4,Medium,46567.2587
582,Cabeza tractora productos peligrosos / ADR MAN TGX 18.460 4X2 BLS,MAN,ITALIA,Piacenza,460,54500,525626,2018,4,Medium,46567.2587
583,Cabeza tractora DAF XF 530,DAF,HOLANDA,Vuren,530,54900,427100,2018,4,Medium,46567.2587
584,Cabeza tractora MAN TGX 18.500 BLS-XLX,MAN,ITALIA,Piacenza,500,59000,451409,2018,4,Medium,46567.2587
585,Cabeza tractora MAN TGX 18.460 XLX,MAN,FRANCIA,Gironde,460,54900,417129,2018,4,Medium,46567.2587
586,Cabeza tractora convoy excepcional DAF XF 530 FT/Voll Luftgefedert/2 Fahrhöhen/Retarder,DAF,ALEMANIA,Sittensen,531,54800,560839,2018,4,Medium,46567.2587
587,Cabeza tractora productos peligrosos / ADR MAN TGX 18.460 4X2 BLS,MAN,ITALIA,Piacenza,460,52000,519802,2018,4,Medium,46567.2587
588,Cabeza tractora productos peligrosos / ADR MAN TGX 18.460 4X2 BLS,MAN,ITALIA,Piacenza,460,54000,520254,2018,4,Medium,46567.2587
589,Cabeza tractora productos peligrosos / ADR MAN TGX 18.460 4X2 BLS,MAN,ITALIA,Piacenza,460,51000,577556,2018,4,Medium,46567.2587
590,Cabeza tractora MAN TGX 18.460 XLX,MAN,FRANCIA,Gironde,500,49500,483193,2018,4,Medium,46567.2587
591,Cabeza tractora MAN TGX 18.460 4X2 LLS-U,MAN,ITALIA,Piacenza,460,55000,541000,2018,4,Medium,46567.2587
592,Cabeza tractora MAN TGX 18.460 4X2 LLS-U,MAN,ITALIA,Piacenza,460,55000,542000,2018,4,Medium,46567.2587
593,Cabeza tractora Volvo FH 460,Volvo,HOLANDA,Weert,459,67800,443959,2018,4,Medium,46567.2587
594,Cabeza tractora Mercedes Actros IV 18 2012,Mercedes,ITALIA,Nervesa Della Battaglia,510,77500,385000,2018,4,Medium,46567.2587
595,Cabeza tractora Mercedes Actros IV 18 2012,Mercedes,ITALIA,Nervesa Della Battaglia,476,65000,353869,2018,4,Medium,46567.2587
596,Cabeza tractora Scania R 450,Scania,HOLANDA,Vuren,450,69900,393750,2018,4,Medium,46567.2587
597,Cabeza tractora MAN TGX 26.460,MAN,HOLANDA,Vuren,459,49950,457430,2018,4,Medium,46567.2587
598,Cabeza tractora Scania R 450,Scania,HOLANDA,Vuren,450,69900,393750,2018,4,Medium,46567.2587
599,Cabeza tractora MAN TGX 26.460,MAN,HOLANDA,Vuren,459,49950,457430,2018,4,Medium,46567.2587
600,Tractora semi portamáquinas MAN TGX 18.500 /LOW CAB / KIPPER HYDRAULIC/NAVI/2018,MAN,POLONIA,Bodzentyn,460,63000,182000,2018,4,Medium,46567.2587
601,Cabeza tractora MAN TGX 18.500,MAN,HOLANDA,Velddriel,500,43000,520173,2018,4,Medium,46567.2587
602,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,64100,223864,2018,4,Medium,46567.2587
603,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,59000,551512,2018,4,Medium,46567.2587
604,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,66600,262307,2018,4,Medium,46567.2587
605,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,58200,236809,2018,4,Medium,46567.2587
606,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,60900,340432,2018,4,Medium,46567.2587
607,Cabeza tractora DAF XF 530,DAF,HOLANDA,Groot,530,43000,913317,2018,4,Medium,46567.2587
608,Tractora semi portacoches Volvo FM13 460,Volvo,BÉLGICA,Malmedy,NA,64000,366595,2018,4,Medium,46567.2587
609,Cabeza tractora Scania R 500,Scania,FRANCIA,Haute,500,75000,465000,2018,4,Medium,46567.2587
610,Cabeza tractora Iveco Stralis AS440S51 STRALIS 510 intarder pto+hyd,Iveco,HOLANDA,Vuren,509,47900,422629,2018,4,Medium,46567.2587
611,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,482,59500,404423,2018,4,Medium,46567.2587
612,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,64300,338171,2018,4,Medium,46567.2587
613,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,63200,384897,2018,4,Medium,46567.2587
614,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,62300,429106,2018,4,Medium,46567.2587
615,Cabeza tractora Iveco Stralis AS440X48T/P ON+ N,Iveco,ITALIA,Cazzago (Ve),480,57000,206914,2018,4,Medium,46567.2587
616,Cabeza tractora productos peligrosos / ADR MAN TGX 18.460 4X2 BLS,MAN,ITALIA,Piacenza,460,54500,529878,2018,4,Medium,46567.2587
617,Cabeza tractora productos peligrosos / ADR MAN TGX 18.500 4X2 BLS,MAN,ITALIA,Piacenza,500,58000,545774,2018,4,Medium,46567.2587
618,Cabeza tractora DAF XF 106,DAF,FRANCIA,Hautes,480,75000,320000,2018,4,Medium,46567.2587
619,Cabeza tractora MAN,MAN,FRANCIA,Bas,500,38900,402485,2018,4,Medium,46567.2587
620,Cabeza tractora DAF XF 106,DAF,FRANCIA,Hautes,480,75000,320000,2018,4,Medium,46567.2587
621,Cabeza tractora MAN,MAN,FRANCIA,Bas,500,38900,402485,2018,4,Medium,46567.2587
622,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,65100,381244,2018,4,Medium,46567.2587
623,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,67700,262076,2018,4,Medium,46567.2587
624,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,67700,262076,2018,4,Medium,46567.2587
625,Cabeza tractora Renault 440 Bouwvoertuig Kip Hydraulic,Renault,HOLANDA,Waalwijk,448,42450,480572,2018,4,Medium,46567.2587
626,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,67700,262076,2018,4,Medium,46567.2587
627,Cabeza tractora Renault 440 Bouwvoertuig Kip Hydraulic,Renault,HOLANDA,Waalwijk,448,42450,480572,2018,4,Medium,46567.2587
628,Cabeza tractora DAF XF 480,DAF,HOLANDA,Vuren,482,38900,702780,2018,4,Medium,46567.2587
629,Cabeza tractora Iveco Stralis AS 440 S 48 TP,Iveco,ITALIA,Trofarello,480,45000,512000,2018,4,Medium,46567.2587
630,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,62300,310728,2018,4,Medium,46567.2587
631,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,69700,297133,2018,4,Medium,46567.2587
632,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,56100,546069,2018,4,Medium,46567.2587
633,Cabeza tractora DAF XF 480,DAF,BÉLGICA,Antwerpen,479,49950,582250,2018,4,Medium,46567.2587
634,Cabeza tractora DAF XF 480,DAF,BÉLGICA,Antwerpen,479,49950,618600,2018,4,Medium,46567.2587
635,Cabeza tractora DAF XF 480,DAF,BÉLGICA,Antwerpen,479,49950,582250,2018,4,Medium,46567.2587
636,Cabeza tractora DAF XF 480,DAF,BÉLGICA,Antwerpen,479,49950,618600,2018,4,Medium,46567.2587
637,Cabeza tractora Scania R 450,Scania,FRANCIA,Haute,450,65000,405000,2018,4,Medium,46567.2587
638,Cabeza tractora Scania R 450,Scania,FRANCIA,Haute,450,65000,405000,2018,4,Medium,46567.2587
639,Cabeza tractora MAN TGX 18.460*BLS*2018*Euro 6*Retarder*2 Tanks,MAN,POLONIA,Przemy,NA,41900,581000,2018,4,Medium,46567.2587
640,Cabeza tractora Scania R 450,Scania,HOLANDA,Groot,NA,62500,718831,2018,4,Medium,46567.2587
641,Cabeza tractora Volvo FM 420,Volvo,HOLANDA,Groot,428,61000,342753,2018,4,Medium,46567.2587
642,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,69100,281032,2018,4,Medium,46567.2587
643,Cabeza tractora Volvo FM 420,Volvo,HOLANDA,Groot,428,61000,342753,2018,4,Medium,46567.2587
644,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,69100,281032,2018,4,Medium,46567.2587
645,Cabeza tractora DAF XF 480,DAF,HOLANDA,Vuren,482,44000,601570,2018,4,Medium,46567.2587
646,Cabeza tractora DAF XF 480,DAF,BÉLGICA,Antwerpen,NA,59500,400500,2018,4,Medium,46567.2587
647,Cabeza tractora Volvo FH 540,Volvo,FRANCIA,Loire,540,77000,435000,2018,4,Medium,46567.2587
648,"Cabeza tractora MAN TGX 18 420 EURO 6, Standairco, PTO",MAN,HOLANDA,Ede,420,39900,588000,2018,4,Medium,46567.2587
649,Cabeza tractora Scania R 500,Scania,FRANCIA,Seine,500,59800,654000,2018,4,Medium,46567.2587
650,"Cabeza tractora MAN TGX TGX 18.420 4X2 BLS, Retarder, Standkl.",MAN,ALEMANIA,Greven,NA,34500,922000,2018,4,Medium,46567.2587
651,"Cabeza tractora MAN TGX TGX 18.420 4X2 BLS, Retarder, Standkl.",MAN,ALEMANIA,Greven,NA,33500,999000,2018,4,Medium,46567.2587
652,"Cabeza tractora MAN TGX TGX 18.420 4X2 BLS, Retarder, Standkl.",MAN,ALEMANIA,Greven,NA,35900,650268,2018,4,Medium,46567.2587
653,"Cabeza tractora MAN TGX TGX 18.420 4X2 BLS, Retarder, Standkl.",MAN,ALEMANIA,Greven,NA,34900,838000,2018,4,Medium,46567.2587
654,Cabeza tractora Scania S 500,Scania,ITALIA,Trofarello,500,80000,580000,2018,4,Medium,46567.2587
655,Cabeza tractora Renault T 440 2x Tanks Sleeper,Renault,HOLANDA,Veghel,440,28750,420187,2018,4,Medium,46567.2587
656,Cabeza tractora Iveco Stralis 460,Iveco,HOLANDA,Veghel,459,29800,424421,2018,4,Medium,46567.2587
657,Cabeza tractora Scania S 500,Scania,HOLANDA,Veghel,500,67900,873248,2018,4,Medium,46567.2587
658,Cabeza tractora Iveco Stralis 460,Iveco,HOLANDA,Veghel,459,29800,420806,2018,4,Medium,46567.2587
659,Cabeza tractora Renault T 460 Hydraulic,Renault,HOLANDA,Veghel,459,44900,385466,2018,4,Medium,46567.2587
660,Cabeza tractora Volvo FH 460,Volvo,HOLANDA,Veghel,459,54900,550987,2018,4,Medium,46567.2587
661,Cabeza tractora Scania R 410,Scania,HOLANDA,Veghel,410,58400,482435,2018,4,Medium,46567.2587
662,Cabeza tractora Iveco Stralis 400,Iveco,HOLANDA,Veghel,399,33900,343987,2018,4,Medium,46567.2587
663,Cabeza tractora Scania S 520 V8 ACC Navi 2x Tanks,Scania,HOLANDA,Veghel,519,70900,757493,2018,4,Medium,46567.2587
664,Cabeza tractora Iveco Stralis 460,Iveco,HOLANDA,Veghel,459,29800,421438,2018,4,Medium,46567.2587
665,Cabeza tractora DAF XF 530,DAF,HOLANDA,Veghel,530,63900,417007,2018,4,Medium,46567.2587
666,Cabeza tractora productos peligrosos / ADR Renault T 520 Liftachse ADR 2x Tanks,Renault,HOLANDA,Veghel,519,69400,170353,2018,4,Medium,46567.2587
667,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,69600,286391,2018,4,Medium,46567.2587
668,Cabeza tractora productos peligrosos / ADR MAN TGX 18.460 4X2 BLS,MAN,FRANCIA,Seine,460,50099,535046,2018,4,Medium,46567.2587
669,Cabeza tractora productos peligrosos / ADR MAN TGX 18.460 4X2 BLS,MAN,FRANCIA,Seine,460,48999,547773,2018,4,Medium,46567.2587
670,Cabeza tractora DAF XF 480 / SUPER SPACE CAB / PTO / EURO 6 /,DAF,POLONIA,Bodzentyn,480,58900,431000,2018,4,Medium,46567.2587
671,Cabeza tractora Renault C 480 / 13 LITERS /HYDRAULIC SYSTEM/225 000 KM,Renault,POLONIA,Bodzentyn,480,63000,225000,2018,4,Medium,46567.2587
672,Cabeza tractora Iveco Stralis 460,Iveco,HOLANDA,Veghel,459,31400,381189,2018,4,Medium,46567.2587
673,Cabeza tractora Iveco Stralis 460,Iveco,HOLANDA,Veghel,459,29800,432412,2018,4,Medium,46567.2587
674,Cabeza tractora Renault T-Series 480 T4X2 E6,Est,FRANCIA,Val,NA,59500,384000,2018,4,Medium,46567.2587
675,Cabeza tractora Renault T-Series 480 X Road,Est,FRANCIA,Val,NA,68000,417000,2018,4,Medium,46567.2587
676,Cabeza tractora Renault T-Series 460 T4X2 E6,Est,FRANCIA,Val,460,59000,338000,2018,4,Medium,46567.2587
677,Cabeza tractora Volvo FH FH 500 Globetrotter/I-ParkCool/Laneas,Volvo,ALEMANIA,Lohfelden,501,69500,550539,2018,4,Medium,46567.2587
678,Cabeza tractora Renault T-Series 480 T4X2 E6,Est,FRANCIA,Val,480,62000,307000,2018,4,Medium,46567.2587
679,Cabeza tractora Scania S 500,Scania,ITALIA,Trofarello,500,86000,430000,2018,4,Medium,46567.2587
680,Cabeza tractora DAF CF 450 pto + hydraulics,DAF,HOLANDA,Vuren,448,44900,641327,2018,4,Medium,46567.2587
