"","name","brand","country","city","power","price","km","year","stringAsFactors"
"49","Cabeza tractora productos peligrosos / ADR Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Hospitalet De Llobregat,",460,40082,343346,"2017",FALSE
"50","Cabeza tractora Volvo FH 480","Volvo","ESPAÑA","Peligros (Granada)",480,30000,1123992,"2008",FALSE
"51","Cabeza tractora Volvo FH 480","Volvo","ESPAÑA","Peligros (Granada)",480,27000,1151477,"2008",FALSE
"52","Cabeza tractora Mercedes Actros 1845","Mercedes","ESPAÑA","Valencia",448,93300,146482,"2021",FALSE
"53","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Alcala De Guadaira",NA,33500,667273,"2016",FALSE
"54","Cabeza tractora Scania R 500","Scania","ESPAÑA","Alcala De Guadaira",NA,27000,1165276,"2013",FALSE
"55","Cabeza tractora Scania R 500","Scania","ESPAÑA","Alcala De Guadaira",NA,69900,576272,"2018",FALSE
"56","Cabeza tractora Scania R 500","Scania","ESPAÑA","Alcala De Guadaira",NA,68900,610114,"2018",FALSE
"57","Cabeza tractora Scania R 440","Scania","ESPAÑA","Alcala De Guadaira",NA,18500,848915,"2012",FALSE
"58","Cabeza tractora Iveco Stralis AT440S48T/P","Iveco","ESPAÑA","Palma De Mallorca",480,52000,321095,"2018",FALSE
"59","Cabeza tractora productos peligrosos / ADR DAF XF 530 FT","DAF","ESPAÑA","Tarragona",530,69900,410000,"2019",FALSE
"60","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Motilla Del Palancar",460,39500,367151,"2016",FALSE
"61","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Motilla Del Palancar",460,48000,568492,"2017",FALSE
"62","Cabeza tractora productos peligrosos / ADR Iveco Stralis AS440S50T/P","Iveco","ESPAÑA","Motilla Del Palancar",499,41000,567219,"2016",FALSE
"63","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Motilla Del Palancar",460,39000,382492,"2016",FALSE
"64","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Ciudad Real",460,40500,391428,"2016",FALSE
"65","Cabeza tractora Iveco Stralis AT440S46T/P","Iveco","ESPAÑA","Ciudad Real",460,37000,538211,"2017",FALSE
"66","Cabeza tractora Renault Premium 420","Renault","ESPAÑA","Cazalegas",420,6000,1700000,"2004",FALSE
"67","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,57000,589918,"2017",FALSE
"68","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,64300,364392,"2019",FALSE
"69","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,64800,481416,"2018",FALSE
"70","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,59000,599530,"2017",FALSE
"71","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,60500,589442,"2017",FALSE
"72","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,69400,418306,"2019",FALSE
"73","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,68600,328112,"2019",FALSE
"74","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,65800,312360,"2018",FALSE
"75","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,65800,471773,"2018",FALSE
"76","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,66200,387005,"2018",FALSE
"77","Cabeza tractora DAF XF","DAF","ESPAÑA","San Fernando De Henares",NA,99,999,"2018",FALSE
"78","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,64400,467869,"2018",FALSE
"79","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,69700,402675,"2019",FALSE
"80","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,63400,443763,"2018",FALSE
"81","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,64700,444397,"2018",FALSE
"82","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,68300,469294,"2018",FALSE
"83","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,68900,438863,"2019",FALSE
"84","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,62600,509779,"2018",FALSE
"85","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,64700,444397,"2018",FALSE
